"wavelength","A001","A002","A003","A004","A005","A006","A007","A008","A009","A010","B001","B002","B003","B004","B005","B006","B007","B008","B009","B010","B011","B012","B013","B014","C001","C002","C003","C004","C005","C006","C008","G001","G002","G003","G004","G005","L001d","L001u","L002","L003","R001","R002","R003","R004","R005","R006","R007","R008","R009","R010","R012","R013","S001","S002","S003","S004","S005","V001","V002","V003","V004","V005","V006","X001","X002","X003","Z001","Z002","Z003","Z004","Z005","Z006","Z007","Z008"
348.1,10.5315227164188,10.053353615844,9.38931344355261,8.52725405149319,8.91319333217399,6.19267075674523,5.99049848846772,8.97206687741718,5.74696109019338,6.14491433034253,12.1006285754784,7.44899331416777,6.0644260129839,10.2001353623551,8.77830651063943,13.0064320506167,11.7578109044484,15.0600289347068,8.50055247194543,17.4562883594908,14.2383668437248,20.2960670640803,12.3502592169237,14.4789751643176,12.2851952175806,10.3420940434911,15.7965703630562,24.5887413155799,17.3675446329127,21.993442692851,13.7872850382216,32.3620248155604,21.8981682733813,31.7872281574431,39.6049165526576,9.1513984297438,6.68826744954386,6.68710685018835,3.89420897943481,4.49522562634922,10.7181414412849,5.95403238355998,8.08331285677327,7.86724256098413,8.47143386048202,10.0304608095968,7.35349799093322,11.9919912531562,5.49526715919548,6.72409727402938,5.2676760957119,5.47836129049865,18.0996032872226,9.80057998057593,8.57172768383045,29.1510582105465,21.0991039515145,3.98541269630114,8.03545616789702,6.69057397945529,4.43316131375482,5.74474534974948,5.89576822112842,7.94724475767342,7.9042500223617,7.41539871314557,29.1002813875546,21.2095039298913,2.99949005151546,9.51782835043186,3.80932703269178,14.4306197814419,17.6817469573493,4.14549468902788
349.7,10.4831000300945,10.1020221978736,9.42050612677476,8.60621254637606,8.92376483651002,6.28125918684014,5.9995581973546,9.00102286265896,5.73049962468841,6.17577260117716,12.0251921613559,7.52622862022639,6.12663452404574,10.2324554350954,8.78905630137596,13.1878211255373,11.8569475987088,15.0328624597151,8.46711933635804,17.3287360502546,14.2661145182706,20.2495738557292,12.2546727912689,14.2917569023363,12.3094420517819,10.3766263273098,15.8608854867771,24.3377632526164,17.3189928759825,21.9948228651572,13.7661431261227,32.4446147696625,21.9103714384157,31.9218213163204,39.950921555532,9.30472669146984,6.72511851271447,6.66346469803226,3.91319558724571,4.4610452282196,10.6762647496246,5.94230426381606,7.95555156220026,7.84318052690987,8.3669014889122,9.98464902767118,7.41437389157568,11.8283633539148,5.44066756287404,6.81561959311144,5.3537460012348,5.41571816307628,18.0590494133352,9.87505744238551,8.62580514999253,29.2762471750158,21.2082266420986,4.10921591936187,7.99866431934331,6.71497103391947,4.36781465834735,5.69149430748046,5.91812598375772,8.05221771800348,7.80124049224265,7.62347791040609,29.1318966511418,21.5156186460373,3.04624617923544,9.50335457271409,3.84019647101372,14.3761966448653,17.6572523521769,4.17282055927136
351.3,10.4474227914235,10.1485763652614,9.4487927028385,8.67544482173328,8.93706998261253,6.35848513369913,6.00970929057179,9.03048064341791,5.71950595178201,6.20617486774142,11.9533705925886,7.59349660135305,6.1780248813493,10.2505372407996,8.79696508304376,13.3423650079989,11.9322435962768,15.0021895590905,8.43373185267732,17.2110774499142,14.2907031791357,20.2060362952487,12.1707730429101,14.1454143769958,12.3290256015388,10.4060115760035,15.9168966341187,24.147014125853,17.2796249702302,22.0022495398094,13.750471865625,32.5222248185729,21.9321042094037,32.0543075875282,40.2492702634909,9.43452927635681,6.75973907289896,6.64697417143628,3.93218905204542,4.43447010248184,10.6368015909123,5.93048584753316,7.84140399269884,7.81879328283834,8.27520482717605,9.94750247416313,7.46457593782588,11.6844459359233,5.38993011782093,6.88871481220565,5.42736924285135,5.365368370938,18.0247520293237,9.94184238633149,8.66640595277678,29.3847445824158,21.306065549459,4.21837202586583,7.96120664122352,6.73720126299043,4.31941621316809,5.64277204620403,5.93603175976922,8.14394498046142,7.70672413841452,7.79288878210991,29.1845182083962,21.7747698027542,3.08320808930825,9.48922216913182,3.88008149147069,14.3291663065086,17.6476130055585,4.19723411634184
352.9,10.4244910004057,10.1930161180074,9.47417317174382,8.73495087756485,8.95310877048152,6.4243485973222,6.02095176811931,9.06044021969404,5.71398007147416,6.23612113003532,11.8851638691764,7.65079725754772,6.21859708489458,10.2543807794675,8.80203285564284,13.4700636980014,11.9836988971525,14.9680102328332,8.40039002090327,17.1033125584694,14.3121328263199,20.165454382639,12.0985599718473,14.039947588296,12.3439458668512,10.4302497895721,15.9646038050812,24.0164939352897,17.2494409156559,22.0157227168077,13.7402712567283,32.5948549622916,21.9633665863453,32.1846869710664,40.4999626765341,9.54080618440469,6.79212913009735,6.63763527040043,3.95118937383392,4.41550024913594,10.5997519651481,5.91857713471125,7.74087014826901,7.79408082876956,8.19634387527358,9.91902114907266,7.5041041296838,11.5602389991818,5.34305482403613,6.94338293131202,5.48854582056155,5.3273119140838,17.9967111351879,10.0009348124139,8.69353009218318,29.4765504327464,21.3926206735958,4.31288101581302,7.92308313353763,6.75726466666817,4.28796597821701,5.5985785659202,5.94948554916292,8.22242654504725,7.62070096087733,7.92363132825704,29.2581460593179,21.9869574000421,3.11037578173388,9.47543113968503,3.92898209406268,14.2895287663719,17.6528289174942,4.21873536023931
354.5,10.4143046570412,10.2353414561115,9.49664753349073,8.78473071387076,8.971881200117,6.47884957770937,6.03328562999716,9.09090159148735,5.71392198376489,6.26561138805886,11.8205719911195,7.69813058881043,6.24835113468158,10.2439860510993,8.80425961917319,13.5709171955448,12.0113135013357,14.930324480943,8.36709384103591,17.0054413759204,14.3304034598233,20.1278281178999,12.0380335780805,13.9753565362369,12.3542028477191,10.4493409680157,16.0040069996644,23.9462026809266,17.2284407122594,22.035242396152,13.7355412994328,32.6625052008186,22.0041585692406,32.3129594669353,40.7029987946618,9.6235574156135,6.82228868430962,6.63544799492469,3.97019655261123,4.40413566818191,10.5651158723318,5.90657812535035,7.65395002891076,7.76904316470351,8.13031863320477,9.89920505239975,7.53295846714946,11.4557425436903,5.30004168151966,6.97962395043055,5.53727573436541,5.30154879251368,17.9749267309279,10.0523347206327,8.70717756821175,29.5516647260076,21.467892014509,4.39274288920345,7.88429379628566,6.77516124495269,4.27346395349413,5.55891386662897,5.95848735193882,8.28766241176098,7.54317095963107,8.01570554884747,29.3527802039069,22.1521814379008,3.12774925651235,9.46198148437374,3.98689827878971,14.2572840244551,17.6729000879841,4.23732429096378
356.1,10.41686376133,10.2755523795739,9.51621578807923,8.82478433065102,8.99338727151897,6.52198807486062,6.04671087620533,9.12186475879784,5.71933168865418,6.29464564181203,11.7595949584177,7.73549659514116,6.26728703071029,10.2193530556949,8.80364537363481,13.6449255006292,12.0150874088266,14.8891323034201,8.33384331307522,16.9174639022671,14.3455150796459,20.0931575010316,11.9891938616097,13.9516412208185,12.3597965441426,10.4632851113343,16.0351062178685,23.9361403627636,17.2166243600409,22.0608085778424,13.7362819937384,32.7251755341539,22.0544801580896,32.4391250751346,40.8583786178739,9.68278296998324,6.85021773553579,6.64041234500908,3.98921058837735,4.40037635961974,10.5328933124636,5.89448881945046,7.58064363462411,7.74368029064022,8.07712910096965,9.88805418414443,7.55113895022285,11.3709565694488,5.26089069027151,6.99743786956124,5.57355898426293,5.28807900622765,17.9593988165437,10.0960421109879,8.70734838086247,29.6100874621995,21.5318795721986,4.45795764603711,7.84483862946761,6.790890997844,4.27591013899945,5.52377794833034,5.96303716809693,8.3396525806026,7.47413413467575,8.0691114438812,29.4684206421632,22.2704419163305,3.13532851364365,9.44887320319795,4.05383004565178,14.2324320807582,17.707826517028,4.25300090851525
357.6,10.4781453383529,10.3114563576098,9.53729947752082,8.8235605613255,9.02166087757526,6.53327621927211,6.07042478807015,9.16428168288039,5.75036579014505,6.33011684895967,11.7094886528742,7.73976101285662,6.24993359213477,10.1643828436851,8.79908590028424,13.6200384502741,11.9477099732166,14.8389706406963,8.32379119675097,16.8782112363895,14.3430597111981,20.0731674617375,12.0161799644889,14.092548901976,12.325774624836,10.4706317941367,16.03448083481,24.1704017777822,17.2299661976934,22.1180328631008,13.7589516035906,32.7545763747807,22.112351795798,32.5032516168722,40.7579540590912,9.63112987887922,6.86907379697254,6.67404421886244,4.01093344115906,4.42560242550673,10.5496323176408,5.88173632657144,7.58811768686923,7.72892060435663,8.099806242965,9.9142082055154,7.5458009803364,11.3774080967065,5.22631562713353,6.95341612669466,5.57515629553286,5.33617725828429,17.9315589529614,10.1135222456134,8.6595619035181,29.6233078609256,21.5502054485982,4.45682612378125,7.79055572163043,6.7952465987758,4.34246992583156,5.51168136327009,5.95946094839853,8.34254939070859,7.45336291981283,7.97592306590979,29.6602076978181,22.2313390658426,3.12058679331149,9.41087153780174,4.13944642930379,14.2077492718904,17.8215192012625,4.27335268724676
359.2,10.5124873792872,10.3589039373593,9.54927473094079,8.88637710900982,9.07421297025699,6.56302426124322,6.09266208859475,9.20949394143805,5.78523158200963,6.37079476461403,11.7107369623609,7.74149023758233,6.25156468987983,10.1411215121163,8.80176635902581,13.6382833480807,11.9108282417831,14.8172866011288,8.31277424581137,16.8132265511121,14.3514713713678,20.088754908383,12.0192457997851,14.1722718830395,12.361862655928,10.4822480527123,16.0643184186283,24.3035581105397,17.2762128599414,22.2069567649074,13.7962780220753,32.7872898154006,22.2246723746858,32.6930082380331,40.8499005631927,9.67033282677187,6.89286188304619,6.69665890113404,4.03572705668328,4.44874693451567,10.5289175248094,5.86684088516799,7.5437520095871,7.7303073718649,8.07350627294534,9.90270793216301,7.54096993800634,11.3380519087614,5.21039406721965,6.94884128948753,5.60060912082549,5.33878932953222,17.9866689735105,10.1652548568662,8.65409194500964,29.6988633378497,21.6085860046446,4.49860166655328,7.80541952954602,6.83035500193419,4.37348771603688,5.49142811989274,5.9656384353056,8.39145116203555,7.43422961061505,7.9931608754243,29.7599828339316,22.2792500591234,3.0985168753376,9.41876194491882,4.23439334439179,14.2152442986684,17.8828988207913,4.28320828367781
360.8,10.5162266340549,10.3996199050987,9.56265097248967,8.88502373553321,9.08357758628339,6.57006684163252,6.1009713239783,9.24040751383417,5.7814986557958,6.38851406990438,11.6314376864796,7.76996983932656,6.25529087728635,10.067165612494,8.78023963255228,13.6570321701951,11.8650626393432,14.7475352886616,8.27607947922811,16.7379059490832,14.326579076334,20.0454608589544,11.9670373649764,14.2217682901882,12.3490079681917,10.4620862519113,16.0848998685852,24.398935954834,17.2388459088445,22.2352761431099,13.7853738696672,32.8608850984798,22.3186492867553,32.8475888425752,41.0529851510398,9.70124227459258,6.92484924899169,6.70572453111519,4.05253925365399,4.47426069358122,10.4734684109858,5.84940331502426,7.49566912004401,7.68005935431702,8.0391377098866,9.91164469991326,7.53383243233089,11.2834124115198,5.17339154124509,6.91584315480183,5.5829264882936,5.34082132659969,17.9642156529709,10.1827590939897,8.61390240299837,29.6847184488434,21.6451849127219,4.53625223769315,7.74486903400097,6.85956580832481,4.40327548521466,5.4832684889789,5.94134371389195,8.42537722034455,7.36632967395785,7.94484461961473,29.9435831363038,22.2475426165882,3.07884011949458,9.4135721132391,4.32466031000625,14.2056542078884,17.9421523293979,4.29262955436941
362.4,10.5313661151062,10.4248096077183,9.58229391449943,8.903242121381,9.074163087243,6.56941766347002,6.10725715443111,9.25099541130684,5.78554883058654,6.38175569077633,11.5218035321317,7.78390646484266,6.26056380571175,9.97536238048529,8.75932010453194,13.6666982695723,11.7982686165146,14.6696498799456,8.2001723227647,16.6228546847849,14.3032286395521,19.9562941205983,11.8982488891155,14.2487308456146,12.3280479774107,10.4609586976694,16.0897553212209,24.480559625337,17.2255177531672,22.233982230448,13.7521359770818,32.8985425780195,22.3719495570624,32.9428532664027,41.0462099557762,9.68092069861174,6.95172293835649,6.70602381502834,4.05326418577714,4.47288699205044,10.4198717120789,5.83212193520073,7.40270994163479,7.61982849382836,7.979176138896,9.91773672242788,7.52597122984489,11.1944333858679,5.12739411286798,6.89596472119845,5.58884782553235,5.3267585349237,17.9337174668625,10.1786947005134,8.5653152995472,29.6594829155541,21.598670045176,4.58638020543092,7.6523103277105,6.81220591696709,4.42158942239227,5.43388581036694,5.89852737250846,8.39734576107019,7.25638597289499,7.91003185261449,30.0865850588561,22.2482298343546,3.05037613146906,9.3461946579941,4.41663850355134,14.1869500120724,18.0062961740641,4.28498816259662
